District,rep_party_2012,GOP2012,DEM2012,GOP_spend_dif_2012,GOP2012_percent,DEM2012_percent,GOP_margin_2012,open_seat_2012,winning_party_2012,rep_party_2014,GOP2014,DEM2014,GOP_spend_dif_2014,GOP2014_percent,DEM2014_percent,GOP_margin_2014,open_seat_2014,winning_party_2014,rep_party_2016,GOP2016,DEM2016,GOP_spend_dif_2016,GOP2016_percent,DEM2016_percent,GOP_margin_2016,open_seat_2016,winning_party_2016,rep_party_2018,GOP2018,DEM2018,GOP_spend_dif_2018,GOP2018_percent,DEM2018_percent,GOP_margin_2018,open_seat_2018,winning_party_2018,COOK_PVI,white,black,latino,asian and pacific island,native,other,bach degree or higher among 25up,whiteBA,median_income,noncollege_white,PRES_GOP_MARGIN_2016,PRES_GOP_MARGIN_2012,PRES_GOP_MARGIN_2008,CITYLAB_CDI
CA47,Open Post-Redistrict,1754240.41,1176864.14,577376.27,43.4,56.6,-13.2,,D,D,59582.15,508373.9,-448791.75,44,56,-12,,D,D,68687.81,590221.68,-521533.87,36.3,63.7,-27.4,,D,DEM,46928,602779,-555851,36.5,63.5,-27,0,D,-13,41.5,8.3,24.7,22.5,0.4,2.6,32,43.2,65450,23.5,-31.58,-22.57,-19.3,Pure urban
CA48,R,582122.28,75073.19,507049.09,61,39,22,,R,R,995709.1,111839.1,883870,64.1,35.9,28.2,,R,R,659108.23,102343.67,556764.56,58.3,41.7,16.6,,R,DEM,6532998.16,20076378.18,-13543380.02,47.7,52.3,-4.6,0,D,4,64.1,1.3,14.3,18,0.3,2.1,44.6,52.2,88903,30.6,-1.71,11.68,4.9,Urban-suburban mix
CA49,R,1115221.66,134314.53,980907.13,58.2,41.8,16.4,,R,R,1749467.11,92445.75,1657021.36,60.2,39.8,20.4,,R,R,6332418.06,5658212.43,674205.63,50.3,49.7,0.6,,R,DEM,2392895.14,10454568.2,-8061673.06,44.9,55.1,-10.2,1,D,1,70.3,2.8,18.1,6.3,0.3,2.2,44,52,80877,33.7,-7.49,6.59,-1.1,Dense suburban
CA50,R,993680.5,150.96,993529.54,67.7,32.3,35.4,,R,R,841310.21,38433.5,802876.71,71.2,28.8,42.4,,R,R,936452.99,23654.09,912798.9,63.5,36.5,27,,R,GOP,1693912.45,4497703.33,-2803790.88,52.8,47.2,5.6,0,R,11,67.3,2.9,20.8,5.7,0.8,2.5,28.2,33.5,71692,44.7,15.01,22.85,18.9,Dense suburban
CA51,Open Post-Redistrict,34320.22,1024618.48,-990298.26,28.5,71.5,-43,,D,D,0,813931.88,-813931.88,31.2,68.8,-37.6,,D,D,82667.12,1069041.38,-986374.26,27.2,72.8,-45.6,,D,DEM,65424,784216,-718792,30.9,69.1,-38.2,0,D,-22,20.7,8.5,59.3,9.4,0.5,1.5,14.1,26.6,46639,15.2,-49.06,-40.5,-33.3,Urban-suburban mix
CA52,R,7266008.37,7976307.01,-710298.64,48.8,51.2,-2.4,,D,D,6798104.65,8769700.79,-1971596.14,48.4,51.6,-3.2,,D,D,1438660.75,2857301.82,-1418641.07,43.5,56.5,-13,,D,DEM,358605,1893542,-1534937,36.9,63.1,-26.2,0,D,-6,66,3.2,11.9,15.9,0.3,2.7,57.4,61.2,90854,25.5,-22.56,-6.41,-12.1,Urban-suburban mix
CA53,D,117613.68,952525.18,-834911.5,38.6,61.4,-22.8,,D,D,206264.09,541185.93,-334921.84,41.2,58.8,-17.6,,D,D,121239.19,470870.68,-349631.49,33,67,-34,,D,DEM,79608,460936,-381328,32.2,67.8,-35.6,0,D,-14,48.9,8.3,26.6,12.9,0.3,3,37.8,48.1,69314,25.3,-34.93,-25.01,-24.3,Urban-suburban mix
CO1,D,18183.17,1098046.15,-1079862.98,28.2,71.8,-43.6,,D,D,16324.67,1068909.37,-1052584.7,29,65.8,-36.8,,D,D,63692.41,1176330.68,-1112638.27,27.7,67.9,-40.2,,D,DEM,34880,1157449,-1122569,28.3,71.7,-43.4,0,D,-21,68.9,8.2,18,2.5,0.6,1.9,47.6,60.5,62718,27.2,-45.79,-40.15,-43.25,Urban-suburban mix
CO2,D,282825.66,1507563.17,-1224737.51,40.9,59.1,-18.2,,D,D,363465.97,1207969,-844503.03,43.3,56.7,-13.4,,D,D,167116.24,1331751.71,-1164635.47,37.2,56.9,-19.7,,D,DEM,64208,989873.58,-925665.58,40,60,-20,1,D,-9,88.1,0.8,7.2,2.1,0.3,1.5,54.3,56.8,75659,38,-21.26,-18.41,-24.03,Sparse suburban
CO3,R,3862195.66,2391664.26,1470531.4,56.5,43.5,13,,R,R,1268958.94,317258.67,951700.27,58,35.7,22.3,,R,R,3587000.59,4172295.24,-585294.65,54.6,40.3,14.3,,R,GOP,1649000,1861194.11,-212194.11,56.6,43.4,13.2,0,R,6,77.6,0.8,18.3,0.7,1.4,1.2,29.2,34,50817,51.2,11.91,6.03,1.44,Pure rural
CO4,R,1874419.8,898736.51,975683.29,61.4,38.6,22.8,,R,Open-Used to be GOP,1268048.88,74379.49,1193669.39,64.7,29.2,35.5,,R,R,759701.8,73644.44,686057.36,63.5,31.7,31.8,,R,GOP,633422,911396.51,-277974.51,60.9,39.1,21.8,0,R,13,80.1,1.3,15.5,1.3,0.6,1.3,34.9,39.4,67878,48.5,23.16,19.28,14.42,Rural-suburban mix
CO5,R,0,0,0,100,0,100,,R,R,574480.8,833960.84,-259480.04,59.8,40.2,19.6,,R,R,340108.97,13779.54,326329.43,62.3,30.9,31.4,,R,GOP,764865,344959.58,419905.42,61.7,38.3,23.4,0,R,14,77.6,5.4,11.6,2.2,0.4,2.8,37,40.9,62372,45.8,23.94,20.81,19.07,Dense suburban
CO6,R,6242259.68,4985352.85,1256906.83,51.1,48.9,2.2,,R,R,9498343.67,8911561.66,586782.01,51.9,43,8.9,,R,R,11076772.56,8485512.95,2591259.61,50.9,42.6,8.3,,R,DEM,8710203.46,16785779.04,-8075575.58,45.9,54.1,-8.2,0,D,-2,72.3,8.5,12.3,4.4,0.4,2.1,41.8,49.4,76451,36.5,-8.93,-5.06,-8.71,Dense suburban
CO7,D,5501781.85,4497036.89,1004744.96,43.3,56.7,-13.4,,D,D,421839.3,1901059.94,-1479220.64,44.9,55.1,-10.2,,D,D,51319.76,1738254.37,-1686934.61,39.8,55.2,-15.4,,D,DEM,54432,1304691,-1250259,39.7,60.3,-20.6,0,D,-6,74.3,1.4,19.7,2.7,0.5,1.4,32.5,39.2,66063,45.1,-12.01,-14.83,-16.66,Dense suburban
CT1,D,73150.1,0,73150.1,28.5,71.5,-43,,D,D,32290.76,1659154.41,-1626863.65,36.1,62.3,-26.2,,D,D,21169.79,1615369.72,-1594199.93,33.8,64.1,-30.3,,D,DEM,0,1583992,-1583992,36.3,63.7,-27.4,0,D,-12,69.9,12.8,13.1,2.7,0.1,1.4,36.8,42.7,70215,39.9,-23.09,-27.71,-32.82,Sparse suburban
CT2,D,123494.27,0,123494.27,30.1,69.9,-39.8,,D,D,62120.54,1127169.97,-1065049.43,35.5,62.3,-26.8,,D,D,50797.88,1154847.28,-1104049.4,33.7,63.2,-29.5,,D,DEM,0,985004,-985004,37.9,62.1,-24.2,0,D,-3,86.4,3.5,5.9,2.2,0.2,1.8,35.1,36.3,74784,55,-2.88,-13.32,-18.59,Rural-suburban mix
CT3,D,60750.93,1169821.23,-1109070.3,25.3,74.7,-49.4,,D,D,6836.56,1236492.14,-1229655.58,32.9,67.1,-34.2,,D,D,0,1150878.91,-1150878.91,31,69,-38,,D,DEM,0,1272836.96,-1272836.96,35.6,64.4,-28.8,0,D,-9,73,12.3,10.5,2.7,0.2,1.3,36.2,39.9,67774,43.7,-15.49,-26.3,-26.47,Sparse suburban
CT4,D,39504,300,39204,40,60,-20,,D,D,1293919.55,2371464,-1077544.45,46.3,53.7,-7.4,,D,D,161189.52,1144648.03,-983458.51,40.1,59.9,-19.8,,D,DEM,702000,1626246,-924246,39.1,60.9,-21.8,0,D,-7,71.4,11.5,12.5,3.6,0.1,0.8,48.8,60.7,94862,28,-23.01,-11.05,-19.86,Sparse suburban
CT5,Open Post-Redistrict,3923617.91,5372225.7,-1448607.79,48.7,51.3,-2.6,,D,D,2052411.76,3624975.22,-1572563.46,45.8,53.3,-7.5,,D,D,113931.97,1447339.34,-1333407.37,42,58,-16,,D,DEM,74052,1299066.82,-1225014.82,44.2,55.8,-11.6,1,D,-2,78.3,5.8,12.5,2.3,0.1,1,36.3,40,68904,46.8,-4.1,-8.22,-13.95,Sparse suburban
DEAL,D,212005.76,1016701.58,-804695.82,34.2,65.8,-31.6,,D,D,21925.97,1146816.96,-1124890.99,36.8,59.3,-22.5,,D,Open-Used to be Dem,221665.5,1451279.77,-1229614.27,41,55.5,-14.5,,D,DEM,0,1138724,-1138724,35.5,64.5,-29,0,D,-6,70.5,20.6,5.1,2.2,0.3,1.3,31,33.8,61757,46.6,-11.43,-18.63,-25,Sparse suburban
FL1,R,NA,NA,NA,71.9,28.1,43.8,,R,R,NA,NA,NA,70.1,23.4,46.7,,R,Open-Used to be GOP,NA,NA,NA,69.1,30.9,38.2,,R,GOP,1139447,5165,1134282,67.1,32.9,34.2,0,R,22,77.5,12.8,4.5,2.1,0.5,2.5,27.9,30.5,53006,53.8,39.34,38.4,34.8,Rural-suburban mix
FL2,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,Open-Used to be Dem,NA,NA,NA,67.3,29.9,37.4,,R,GOP,948210,256763,691447,67.5,32.5,35,0,R,18,79.9,12.8,4.3,1.2,0.4,1.3,23.4,24.3,46062,60.5,35.6,30.6,28.2,Rural-suburban mix
FL3,Open Post-Redistrict,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,56.6,39.8,16.8,,R,GOP,723142,61375.97,661766.03,57.6,42.4,15.2,0,R,9,73.5,15,7.2,2.5,0.3,1.5,25.9,26.5,45970,54,15.96,14.7,10.4,Pure rural
FL4,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,Open-Used to be GOP,NA,NA,NA,70.2,27.6,42.6,,R,GOP,431492,97685,333807,67.7,32.3,35.4,0,R,17,80.2,8.8,6,3.2,0.2,1.6,39.2,39.8,68229,48.2,28.02,33.3,29.4,Sparse suburban
FL5,D,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,Open-Used to be Dem,NA,NA,NA,35.8,64.2,-28.4,,D,DEM,33435,56812,-23377,33.2,66.8,-33.6,0,D,-12,45.6,45.3,5.4,1.9,0.3,1.5,21.4,25,40932,34.1,-25.41,-28.2,-27.3,Sparse suburban
FL6,Open Post-Redistrict,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,58.6,41.4,17.2,,R,GOP,5080298.31,5488244.99,-407946.68,56.3,43.7,12.6,1,R,7,79.2,9.3,9,1.3,0.3,0.9,23.9,24.9,46882,59.4,16.98,5.6,-1.4,Sparse suburban
FL7,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,48.5,51.5,-3,,D,DEM,1132314.58,4200302.45,-3067987.87,42.3,57.7,-15.4,0,D,0,65.7,9.6,19.9,3.3,0.1,1.4,37.8,44.3,57146,36.5,-7.29,0,-3.1,Sparse suburban
FL8,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,63.1,32.5,30.6,,R,GOP,1048908,334884,714024,60.5,39.5,21,0,R,11,80.9,8.5,7.4,1.5,0.2,1.4,29,30.4,50752,56.2,20.71,14.5,11.1,Sparse suburban
FL9,Open Post-Redistrict,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,Open-Used to be Dem,NA,NA,NA,42.5,57.5,-15,,D,DEM,72235.45,2481097.65,-2408862.2,42,58,-16,0,D,-5,51.4,11.3,33.2,2.6,0.2,1.2,24.6,28.8,49899,36.4,-12.91,-12.2,-10.1,Sparse suburban
FL10,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,Open-Used to be GOP,NA,NA,NA,35.1,64.9,-29.8,,D,DEM,0,830299,-830299,0,100,-100,0,D,-11,46.1,25.5,21.9,4.7,0.1,1.7,30.3,38.3,50151,28.2,-26.89,-22.3,-22.4,Sparse suburban
FL11,D,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,65.4,31.6,33.8,,R,GOP,510413,82675,427738,65.2,34.8,30.4,0,R,15,84.4,6.2,7.3,0.9,0.3,0.9,20.6,21.2,43610,66.4,32.31,19.4,13.5,Rural-suburban mix
FL12,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,68.6,31.4,37.2,,R,GOP,2057203,775061.46,1282141.54,60.3,39.7,20.6,0,R,8,84,3.9,9,1.9,0.3,0.9,26.9,26.7,49774,61.5,18.6,7.5,3.8,Sparse suburban
FL13,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,48.1,51.9,-3.8,,D,DEM,40716,1481966.56,-1441250.56,42.4,57.6,-15.2,0,D,-2,78.1,11.2,6.4,2.8,0.3,1.2,27.8,28.8,48519,55.5,-3.2,-10.7,-12.5,Dense suburban
FL14,D,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,38.2,61.8,-23.6,,D,DEM,0,646501,-646501,0,100,-100,0,D,-7,55.1,17,22.8,3.3,0.2,1.5,35.3,46.5,51410,29.4,-18.18,-16.4,-17.2,Dense suburban
FL15,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,57.5,42.5,15,,R,GOP,3375034.08,3376364.69,-1330.61,53,47,6,1,R,6,67.3,13.2,15.4,2.5,0.2,1.4,25.8,27.3,53784,48.8,9.99,5.6,5.4,Sparse suburban
FL16,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,59.8,40.2,19.6,,R,GOP,4445675.54,3718391.58,727283.96,54.6,45.4,9.2,0,R,7,80.3,7.6,9.4,1.6,0.2,0.9,30.7,33.2,55447,53.5,10.79,8.6,3.5,Sparse suburban
FL17,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,61.8,34.2,27.6,,R,GOP,1396736.81,201688,1195048.81,62.3,37.7,24.6,1,R,13,82.4,6.8,8.8,1.1,0.2,0.8,21.3,23.2,45508,63.2,27.2,16.3,10.8,Rural-suburban mix
FL18,R,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,Open-Used to be Dem,NA,NA,NA,53.6,43.1,10.5,,R,GOP,8449860.07,6262515.31,2187344.76,54.3,45.7,8.6,0,R,5,76.8,10.7,10,1.6,0.2,0.8,30.5,33.6,54913,50.9,9.21,3.7,-3.3,Sparse suburban
FL19,Open Post-Redistrict,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,Open-Used to be GOP,NA,NA,NA,65.9,34.1,31.8,,R,GOP,1210435,528491,681944,62.3,37.7,24.6,0,R,13,81.6,5.7,10.7,1.2,0.2,0.7,32.3,37.1,54812,51.3,22.06,21.8,14.5,Sparse suburban
FL20,D,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,19.7,80.3,-60.6,,D,DEM,0,805527.07,-805527.07,0,100,-100,0,D,-31,25.6,51.2,19.4,2.5,0.1,1.3,19.7,27.2,43677,18.5,-62.1,-65.4,-62.3,Urban-suburban mix
FL21,D,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,35.1,62.7,-27.6,,D,DEM,0,807021,-807021,0,100,-100,0,D,-9,70.5,11.6,14.7,2.1,0.1,0.9,34.3,40.5,55864,41.8,-19.55,-21.5,-27.5,Dense suburban
FL22,D,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,41.1,58.9,-17.8,,D,DEM,199852,1175657.07,-975805.07,38,62,-24,0,D,-6,68.7,11.6,15.8,2.5,0.2,1.2,37.9,43.2,60159,38.9,-15.74,-13.3,-17.3,Dense suburban
FL23,D,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,40.5,56.7,-16.2,,D,DEM,498776,1885001,-1386225,41.5,58.5,-17,0,D,-11,51.8,12.5,30.8,3.4,0.3,1.1,38.6,39.7,61513,31.1,-26.09,-23.4,-24.7,Urban-suburban mix
FL24,D,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,0,100,-100,,D,DEM,0,328732,-328732,0,100,-100,0,D,-34,15.7,50.5,31.6,1.4,0.1,0.7,19.4,35.9,38441,9.9,-67.49,-71.8,-68.4,Urban-suburban mix
FL25,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,62.4,37.6,24.8,,R,GOP,2572674,2531404.4,41269.6,60.5,39.5,21,0,R,4,26.5,3.9,68,1,0.2,0.3,22.7,33.9,46247,17.5,1.76,9.6,18.2,Urban-suburban mix
FL26,R,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,53,41.2,11.8,,R,DEM,12967135.74,15895209.46,-2928073.72,49.1,50.9,-1.8,0,D,-6,22.4,11.7,63.5,1.6,0.1,0.6,27.2,32.8,54453,15,-16.27,-11.5,-3.6,Urban-suburban mix
FL27,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,NA,NA,54.9,45.1,9.8,,R,DEM,4119198.43,6423206.45,-2304008.02,48.2,51.8,-3.6,1,D,-5,27.8,5,64.6,1.9,0.1,0.6,37.5,63.8,51958,9.9,-19.6,-6.7,-0.8,Urban-suburban mix
GA1,R,1208213.63,113902.84,1094310.79,NA,NA,NA,NA,NA,Open-Used to be GOP,1606049.09,46857.7,1559191.39,NA,NA,NA,NA,NA,R,NA,NA,NA,100,0,100,,R,GOP,1144933,205084,939849,57.8,42.2,15.6,0,R,9,64,29.1,3.8,1.4,0.3,1.3,25,28.2,50931,45.9,15.51,12.88,10.56,Rural-suburban mix
GA2,D,168222.8,1305776.64,-1137553.84,36.2,63.8,-27.6,,D,D,17383.61,1091589.1,-1074205.49,,59.2,-59.2,,D,D,44957.38,1058907.1,-1013949.72,38.8,61.2,-22.4,,D,DEM,16727,1153645,-1136918,40.4,59.6,-19.2,0,D,-6,44.6,50.7,2.6,0.9,0.2,1.1,17.6,22.1,35617,34.7,-11.73,-17.79,-16.28,Rural-suburban mix
GA3,R,0,0,0,100,0,100,,R,R,0,0,0,,0,0,,D,Open-Used to be GOP,1268826.22,0,1268826.22,68.3,31.7,36.6,,R,GOP,1138099,55647,1082452,65.5,34.5,31,0,R,18,70.8,23.3,3.3,1.2,0.2,1.2,26.5,28.3,56240,50.7,31.57,32.86,31.34,Rural-suburban mix
GA4,D,44944.29,433430.85,-388486.56,26.4,73.6,-47.2,,D,D,0,0,0,,100,-100,,D,D,7039,450610.66,-443571.66,24.3,75.7,-51.4,,D,DEM,74824,482342,-407518,21.2,78.8,-57.6,0,D,-24,30.9,60.7,3.8,3.2,0.1,1.3,29.8,38.1,51686,19,-53.06,-48.01,-46.92,Sparse suburban
GA5,D,71960,1300095.24,-1228135.24,15.6,84.4,-68.8,,D,D,0,0,0,,100,-100,,D,D,10106.94,1058522.33,-1048415.39,15.6,84.4,-68.8,,D,DEM,0,1931653.29,-1931653.29,0,100,-100,0,D,-34,32.8,59.2,3.3,2.9,0.3,1.5,42,70.5,48269,9.7,-73.07,-67.27,-69.34,Dense suburban
GA6,R,1799245.68,44593,1754652.68,64.5,35.5,29,,R,R,1724934.57,24572.91,1700361.66,,34,-34,,D,R,2462526.7,0,2462526.7,61.7,38.3,23.4,,R,DEM,4275364.96,7875993.58,-3600628.62,49.5,50.5,-1,1,D,8,72.4,14.3,4.9,6.8,0.3,1.4,60.6,66.7,87139,24,1.49,23.38,18.91,Dense suburban
GA7,R,0,32745,-32745,62.2,37.8,24.4,,R,R,500041.47,19471,480570.47,,34.6,-34.6,,D,R,390260.26,0,390260.26,60.4,39.6,20.8,,R,GOP,1451943,3852979.48,-2401036.48,50.2,49.8,0.4,0,R,9,58.5,20.4,9.1,10.4,0.2,1.4,39.6,44.9,72481,32.1,6.38,21.91,20.96,Sparse suburban
GA8,R,0,0,0,100,0,100,,R,R,0,0,0,,0,0,,D,R,1043968,0,1043968,67.6,32.4,35.2,,R,GOP,638678,0,638678,100,0,100,0,R,15,65,30,2.9,0.9,0.2,1,21.8,24.8,44360,48.7,28.94,24.15,23.76,Pure rural
GA9,Open Post-Redistrict,674338.52,75605.69,598732.83,76.2,23.8,52.4,,R,R,664454.62,27968.16,636486.46,,19.3,-19.3,,D,R,0,0,0,100,0,100,,R,GOP,732150,89593,642557,79.5,20.5,59,0,R,31,86.8,7,4.2,1,0.2,0.8,21.6,24,50154,65.9,58.45,57.66,50.41,Pure rural
GA10,R,0,0,0,100,0,100,,R,Open-Used to be GOP,949719.72,35774,913945.72,,33.5,-33.5,,D,R,0,0,0,100,0,100,,R,GOP,612307,18282,594025,62.9,37.1,25.8,0,R,15,69.8,24.7,2.9,1.5,0.1,1,26.7,30.4,51532,48.5,25.5,26.16,21.62,Pure rural
GA11,R,1140885.35,6379,1134506.35,68.6,31.4,37.2,,R,Open-Used to be GOP,27805,0,27805,,0,0,,D,R,915365.12,0,915365.12,67.4,32.6,34.8,,R,GOP,601659,45332,556327,61.8,38.2,23.6,0,R,17,75.3,16,5,2.3,0.2,1.2,41,44.1,69610,42,24.99,35.49,29.65,Sparse suburban
GA12,D,4742327.99,4574775.64,167552.35,46.3,53.7,-7.4,,D,D,6962191.59,6853589.13,108602.46,,45.2,-45.2,,D,R,1099841.93,10440,1089401.93,61.6,38.4,23.2,,R,GOP,1121928,273219,848709,59.5,40.5,19,0,R,9,59.8,34.3,3.3,1.2,0.2,1,20.9,23.6,43933,45.7,16.16,11.78,11.69,Pure rural
GA13,D,0,845674.93,-845674.93,28.3,71.7,-43.4,,D,D,0,0,0,,100,-100,,D,D,0,0,0,0,100,-100,,D,DEM,20109,1050126,-1030017,23.8,76.2,-52.4,0,D,-20,33.4,58.1,4.8,2.2,0.1,1.4,29.6,26,57342,24.7,-44.41,-39.27,-34.81,Sparse suburban
GA14,R,1126844.4,33400.5,1093443.9,73,27,46,,R,R,0,0,0,,0,0,,D,R,0,0,0,100,0,100,,R,GOP,931189,8012,923177,76.5,23.5,53,0,R,27,85.1,8.7,4.4,0.7,0.2,0.9,18.1,18.5,48691,69.3,52.89,47.9,43.19,Rural-suburban mix
HI1,D,933809.37,1461462.67,-527653.3,45.4,54.6,-9.2,,D,Open-Used to be Dem,1296478.8,2305078.36,-1008599.56,,51.9,-51.9,,D,Open-Used to be Dem,0,489871.41,-489871.41,22.7,71.9,-49.2,,D,DEM,146659,481431,-334772,26.9,73.1,-46.2,1,D,-17,19.1,2.2,7.2,56.2,0.1,15.1,36,48.9,78180,9.8,-32.53,-40.68,-41.96,Urban-suburban mix
HI2,Open Post-Redistrict,0,1518355.61,-1518355.61,19.5,80.5,-61,,D,D,0,905585.06,-905585.06,,78.7,-78.7,,D,D,0,1296793.48,-1296793.48,18.8,81.2,-62.4,,D,DEM,0,1369519,-1369519,22.6,77.4,-54.8,0,D,-19,33.7,1.6,9.2,35.9,0.2,19.5,27.8,42.6,70867,19.3,-31.85,-44.72,-48.45,Rural-suburban mix
ID1,R,619719.06,82903.74,536815.32,67.2,32.8,34.4,,R,R,426050.5,225143.94,200906.56,,35,-35,,D,R,877578.38,320424.19,557154.19,68.2,31.8,36.4,,R,GOP,1394944.48,16264,1378680.48,69.7,30.3,39.4,1,R,21,89.6,0.3,6.5,0.9,1.2,1.5,25.4,26.8,52199,65.5,38.3,32.73,27.39,Rural-suburban mix
ID2,R,1192871.28,343549.3,849321.98,65.2,34.8,30.4,,R,R,2471738.92,113773.63,2357965.29,,38.6,-38.6,,D,R,933105.89,0,933105.89,62.9,29.4,33.5,,R,GOP,934614,120480,814134,60.7,39.3,21.4,0,R,17,88.1,0.6,7.6,1.1,1.1,1.4,30.1,32.5,51294,59.4,24.66,31.08,23.44,Rural-suburban mix
IL1,D,99791.83,476407.1,-376615.27,26.2,73.8,-47.6,,D,D,0,344604.21,-344604.21,,73.1,-73.1,,D,D,20150,621691.5,-601541.5,25.9,74.1,-48.2,,D,DEM,0,313532,-313532,27,73,-46,0,D,-27,38,53,6.4,1.3,0.2,1.1,28.9,35.9,50523,24.3,-53.94,-58.7,-62.3,Urban-suburban mix
IL2,D,18129.16,1063065.87,-1044936.71,26.8,73.2,-46.4,,D,D,21789.09,1485757.35,-1463968.26,,78.5,-78.5,,D,D,0,838787.75,-838787.75,20.2,79.8,-59.6,,D,DEM,0,875760,-875760,19.2,80.8,-61.6,0,D,-29,33,56.6,8.8,0.6,0.1,1,23.3,25,48417,24.7,-58.86,-62.18,-62.89,Dense suburban
IL3,D,13168.09,589524.78,-576356.69,31.5,68.5,-37,,D,D,32937,620135.09,-587198.09,,64.6,-64.6,,D,D,0,0,0,0,100,-100,,D,DEM,0,2347477,-2347477,26.5,73.5,-47,0,D,-6,68.2,5.4,22.3,3.3,0,0.7,26.9,32.1,66270,46.3,-15.3,-13.34,-17.85,Urban-suburban mix
IL4,D,0,383848.64,-383848.64,17,83,-66,,D,D,0,408968.09,-408968.09,,78.1,-78.1,,D,D,0,0,0,0,100,-100,,D,DEM,7607,811372,-803765,9.7,90.3,-80.6,1,D,-33,33.2,5.4,56.2,3.9,0.2,1.1,24.5,52.8,51383,15.6,-68.86,-63.84,-62.31,Pure urban
IL5,D,0,703729.55,-703729.55,30.3,69.7,-39.4,,D,D,351924.21,779868.08,-427943.87,,63.2,-63.2,,D,D,51597.36,829547.64,-777950.28,27.5,67.8,-40.3,,D,DEM,0,1213171,-1213171,22.1,77.9,-55.8,0,D,-20,74.5,2.9,15,6,0.1,1.5,54.7,60.2,80269,29.6,-46.58,-34.21,-41.09,Pure urban
IL6,R,3411575.17,411159.93,3000415.24,59.2,40.8,18.4,,R,R,4079869.91,0,4079869.91,,32.9,-32.9,,D,R,3374616.91,104678.51,3269938.4,59.2,40.8,18.4,,R,DEM,10466201.96,12842601.69,-2376399.73,47.2,52.8,-5.6,0,D,2,84.1,2.4,6,6.7,0,0.8,52.2,53.4,97387,39.2,-6.97,8.21,-3.99,Sparse suburban
IL7,D,0,512310.04,-512310.04,11.5,88.5,-77,,D,D,0,469170.22,-469170.22,,85.1,-85.1,,D,D,0,503244.38,-503244.38,15.8,84.2,-68.4,,D,DEM,0,547265,-547265,11.9,88.1,-76.2,0,D,-38,32.5,51.5,9.5,5.2,0.1,1.2,40.7,73.7,54147,8.5,-78.19,-75.43,-79.52,Pure urban
