State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016 ,Final?
Maryland,1,R+14,Andy Harris,R,"116,631","183,662","5,893",38.1%,60.0%,1.9%,-21.9%,-25.1%,3.2%,"367,987",83.2%,x
Maryland,2,D+11,Dutch Ruppersberger,D,"167,201","77,782","8,319",66.0%,30.7%,3.3%,35.3%,21.0%,14.3%,"313,406",80.8%,x
Maryland,3,D+13,John Sarbanes,D,"202,407","82,774","7,699",69.1%,28.3%,2.6%,40.8%,30.9%,9.9%,"345,565",84.8%,x
Maryland,4,D+28,Anthony Brown,D,"209,642","53,327","5,614",78.1%,19.9%,2.1%,58.2%,57.1%,1.1%,"325,668",82.5%,x
Maryland,5,D+16,Steny Hoyer,D,"213,796","82,361","8,052",70.3%,27.1%,2.6%,43.2%,33.8%,9.4%,"365,068",83.3%,x
Maryland,6,D+6,David Trone,D,"163,346","105,209","8,529",59.0%,38.0%,3.1%,21.0%,15.4%,5.6%,"337,363",82.1%,x
Maryland,7,D+26,Elijah Cummings,D,"202,345","56,266","6,099",76.4%,21.3%,2.3%,55.2%,52.5%,2.7%,"323,954",81.7%,x
Maryland,8,D+14,Jamie Raskin,D,"217,679","96,525","5,126",68.2%,30.2%,1.6%,37.9%,33.3%,4.6%,"369,004",86.5%,x
Massachusetts,1,D+12,Richard Neal,D,"211,790",0,"5,110",97.6%,0.0%,2.4%,97.6%,20.3%,N/A,"344,412",63.0%,x
Massachusetts,2,D+9,Jim McGovern,D,"191,332","93,391",170,67.2%,32.8%,0.1%,34.4%,19.0%,15.4%,"357,395",79.7%,x
Massachusetts,3,D+9,Lori Trahan,D,"173,175","93,445","12,707",62.0%,33.5%,4.5%,28.5%,22.5%,6.0%,"354,367",78.8%,x
Massachusetts,4,D+9,Joe Kennedy,D,"245,289",0,"5,727",97.7%,0.0%,2.3%,97.7%,23.7%,N/A,"388,652",64.6%,x
Massachusetts,5,D+18,Katherine Clark,D,"236,243","74,856",225,75.9%,24.0%,0.1%,51.8%,42.9%,8.9%,"379,720",82.0%,x
Massachusetts,6,D+6,Seth Moulton,D,"217,703","104,798","11,474",65.2%,31.4%,3.4%,33.8%,17.6%,16.2%,"407,896",81.9%,x
Massachusetts,7,D+34,Ayanna Pressley,D,"216,559",0,"3,852",98.3%,0.0%,1.7%,98.3%,71.2%,N/A,"306,116",72.0%,x
Massachusetts,8,D+10,Stephen Lynch,D,"259,159",0,"4,148",98.4%,0.0%,1.6%,98.4%,25.6%,N/A,"389,135",67.7%,x
Massachusetts,9,D+4,Bill Keating,D,"192,347","131,463",118,59.4%,40.6%,0.0%,18.8%,10.6%,8.2%,"397,353",81.5%,x
Michigan,1,R+9,Jack Bergman,R,"145,246","187,251",0,43.7%,56.3%,0.0%,-12.6%,-21.3%,8.7%,"364,608",91.2%,x
Michigan,2,R+9,Bill Huizenga,R,"131,254","168,970","5,239",43.0%,55.3%,1.7%,-12.3%,-17.3%,5.0%,"350,571",87.1%,x
Michigan,3,R+6,Justin Amash,R,"134,185","169,107","7,448",43.2%,54.4%,2.4%,-11.2%,-9.4%,-1.8%,"349,707",88.9%,x
Michigan,4,R+10,John Moolenaar,R,"106,540","178,510",0,37.4%,62.6%,0.0%,-25.2%,-24.8%,-0.4%,"328,832",86.7%,x
Michigan,5,D+5,Daniel Kildee,D,"164,502","99,265","12,646",59.5%,35.9%,4.6%,23.6%,4.3%,19.3%,"327,971",84.3%,x
Michigan,6,R+4,Fred Upton,R,"134,082","147,436","11,920",45.7%,50.2%,4.1%,-4.6%,-8.4%,3.8%,"332,772",88.2%,x
Michigan,7,R+7,Tim Walberg,R,"136,330","158,730",0,46.2%,53.8%,0.0%,-7.6%,-17.0%,9.4%,"340,831",86.6%,x
Michigan,8,R+4,Elissa Slotkin,D,"172,880","159,782","8,931",50.6%,46.8%,2.6%,3.8%,-6.7%,10.5%,"377,432",90.5%,x
Michigan,9,D+4,Andy Levin,D,"181,734","112,123","10,706",59.7%,36.8%,3.5%,22.9%,7.7%,15.2%,"355,063",85.8%,x
Michigan,10,R+13,Paul Mitchell,R,"106,061","182,808","14,195",35.0%,60.3%,4.7%,-25.3%,-32.2%,6.9%,"357,907",84.7%,x
Michigan,11,R+4,Haley Stevens,D,"181,912","158,463","10,526",51.8%,45.2%,3.0%,6.7%,-4.4%,11.1%,"392,959",89.3%,x
Michigan,12,D+14,Debbie Dingell,D,"200,588","85,115","8,925",68.1%,28.9%,3.0%,39.2%,26.2%,13.0%,"340,042",86.6%,x
Michigan,13,D+32,Rashida Tlaib,D,"165,355",0,"30,944",84.2%,0.0%,15.8%,84.2%,60.6%,N/A,"265,457",73.9%,x
Michigan,14,D+30,Brenda Lawrence,D,"214,334","45,899","4,761",80.9%,17.3%,1.8%,63.6%,60.9%,2.7%,"318,900",83.1%,x
Minnesota,1,R+5,Jim Hagedorn,R,"144,885","146,200",576,49.7%,50.1%,0.2%,-0.5%,-14.8%,14.3%,"343,735",84.9%,x
Minnesota,2,R+2,Angie Craig ,D,"177,958","159,344",666,52.7%,47.1%,0.2%,5.5%,-1.2%,6.7%,"381,647",88.6%,x
Minnesota,3,D+1,Dean Phillips,D,"202,404","160,839",706,55.6%,44.2%,0.2%,11.4%,9.4%,2.0%,"401,670",90.6%,x
Minnesota,4,D+14,Betty McCollum,D,"216,865","97,747","14,003",66.0%,29.7%,4.3%,36.2%,30.6%,5.6%,"367,654",89.4%,x
Minnesota,5,D+26,Ilhan Omar,D,"267,703","74,440","1,215",78.0%,21.7%,0.4%,56.3%,54.7%,1.6%,"374,560",91.7%,x
Minnesota,6,R+12,Tom Emmer,R,"122,332","192,931",463,38.7%,61.1%,0.1%,-22.4%,-25.5%,3.1%,"373,920",84.4%,x
Minnesota,7,R+12,Collin Peterson,D,"146,672","134,668",169,52.1%,47.8%,0.1%,4.3%,-30.5%,34.8%,"339,286",83.0%,x
Minnesota,8,R+4,Pete Stauber,R,"141,950","159,364","12,897",45.2%,50.7%,4.1%,-5.5%,-15.5%,10.0%,"362,341",86.7%,x
Mississippi,1,R+16,Trent Kelly,R,"76,601","158,245","1,675",32.4%,66.9%,0.7%,-34.5%,-33.0%,-1.5%,"310,621",76.1%,x
Mississippi,2,D+14,Bennie Thompson,D,"158,921",0,"62,458",71.8%,0.0%,28.2%,71.8%,28.4%,N/A,"291,419",76.0%,x
Mississippi,3,R+13,Michael Guest,R,"94,461","160,284","2,526",36.7%,62.3%,1.0%,-25.6%,-24.5%,-1.1%,"323,862",79.4%,x
Mississippi,4,R+21,Steven Palazzo,R,"68,787","152,633","2,312",30.7%,68.2%,1.0%,-37.5%,-41.1%,3.6%,"283,455",78.9%,x
Missouri,1,D+29,Lacy Clay,D,"219,781","45,867","8,727",80.1%,16.7%,3.2%,63.4%,58.0%,5.4%,"320,522",85.6%,x
Missouri,2,R+8,Ann Wagner,R,"177,611","192,477","5,978",47.2%,51.2%,1.6%,-4.0%,-10.3%,6.3%,"421,541",89.2%,x
Missouri,3,R+18,Blaine Luetkemeyer,R,"106,589","211,243","6,776",32.8%,65.1%,2.1%,-32.2%,-39.0%,6.8%,"378,693",85.7%,x
Missouri,4,R+17,Vicky Hartzler,R,"95,968","190,138","7,210",32.7%,64.8%,2.5%,-32.1%,-35.8%,3.7%,"341,135",86.0%,x
Missouri,5,D+7,Emanuel Cleaver,D,"175,019","101,069","7,697",61.7%,35.6%,2.7%,26.1%,14.8%,11.3%,"327,471",86.7%,x
Missouri,6,R+16,Sam Graves,R,"97,660","199,796","7,953",32.0%,65.4%,2.6%,-33.4%,-32.3%,-1.1%,"356,840",85.6%,x
Missouri,7,R+23,Billy Long,R,"89,190","196,343","10,922",30.1%,66.2%,3.7%,-36.1%,-45.5%,9.4%,"343,078",86.4%,x
Missouri,8,R+24,Jason Smith,R,"66,151","194,042","4,206",25.0%,73.4%,1.6%,-48.4%,-54.2%,5.8%,"318,514",83.0%,x
Montana,AL,R+11,Greg Gianforte,R,"233,284","256,661","14,476",46.2%,50.9%,2.9%,-4.6%,-20.4%,15.8%,"497,119",101.5%,x
Nebraska,1,R+11,Jeff Fortenberry,R,"93,069","141,712",0,39.6%,60.4%,0.0%,-20.7%,-20.7%,0.0%,"282,363",83.1%,x
Nebraska,2,R+4,Don Bacon,R,"121,770","126,715",0,49.0%,51.0%,0.0%,-2.0%,-2.2%,0.2%,"291,680",85.2%,x
Nebraska,3,R+27,Adrian Smith,R,"49,654","163,650",0,23.3%,76.7%,0.0%,-53.4%,-54.2%,0.8%,"270,185",78.9%,x
Nevada,1,D+15,Dina Titus,D,"100,707","46,978","4,516",66.2%,30.9%,3.0%,35.3%,29.0%,6.3%,"196,841",77.3%,x
Nevada,2,R+7,Mark Amodei,R,"120,102","167,435",0,41.8%,58.2%,0.0%,-16.5%,-12.4%,-4.1%,"326,011",88.2%,x
Nevada,3,R+2,Susie Lee,D,"148,501","122,566","15,101",51.9%,42.8%,5.3%,9.1%,-1.0%,10.1%,"325,601",87.9%,x
Nevada,4,D+3,Steven Horsford ,D,"121,962","102,748","10,158",51.9%,43.7%,4.3%,8.2%,4.9%,3.3%,"276,932",84.8%,x
New Hampshire,1,R+2,Chris Pappas ,D,"155,891","131,015","4,160",53.6%,45.0%,1.4%,8.5%,-1.6%,10.1%,"377,574",77.1%,x
New Hampshire,2,D+2,Annie Kuster,D,"154,378","118,670","6,357",55.3%,42.5%,2.3%,12.8%,2.4%,10.4%,"366,722",76.2%,x
New Jersey,1,D+13,Donald Norcross,D,"169,628","87,617","6,173",64.4%,33.3%,2.3%,31.1%,24.5%,6.6%,"329,187",80.0%,x
New Jersey,2,R+1,Jeff Van Drew,D,"136,685","116,866","4,812",52.9%,45.2%,1.9%,7.7%,-4.6%,12.3%,"321,018",80.5%,x
New Jersey,3,R+2,Andy Kim,D,"153,473","149,500","3,902",50.0%,48.7%,1.3%,1.3%,-6.2%,7.5%,"365,276",84.0%,x
New Jersey,4,R+8,Chris Smith,R,"126,766","163,065","4,517",43.1%,55.4%,1.5%,-12.3%,-14.8%,2.5%,"356,593",82.5%,x
New Jersey,5,R+3,Josh Gottheimer,D,"169,546","128,255","4,022",56.2%,42.5%,1.3%,13.7%,-1.1%,14.8%,"364,545",82.8%,x
New Jersey,6,D+9,Frank Pallone,D,"140,752","80,443",0,63.6%,36.4%,0.0%,27.3%,15.6%,11.7%,"289,650",76.4%,x
New Jersey,7,R+3,Tom Malinowski,D,"166,985","150,785","4,972",51.7%,46.7%,1.5%,5.0%,1.1%,3.9%,"371,585",86.9%,x
New Jersey,8,D+27,Albio Sires,D,"119,881","28,725","4,849",78.1%,18.7%,3.2%,59.4%,54.2%,5.2%,"229,953",66.7%,x
New Jersey,9,D+16,Bill Pascrell,D,"140,832","57,854","1,730",70.3%,28.9%,0.9%,41.4%,31.2%,10.2%,"276,523",72.5%,x
New Jersey,10,D+36,Donald Payne Jr.,D,"175,253","20,191","4,715",87.6%,10.1%,2.4%,77.5%,72.4%,5.1%,"274,361",73.0%,x
New Jersey,11,R+3,Mikie Sherrill,D,"183,684","136,322","3,568",56.8%,42.1%,1.1%,14.6%,-0.9%,15.5%,"380,521",85.0%,x
New Jersey,12,D+16,Bonnie Watson Coleman,D,"173,334","79,041",0,68.7%,31.3%,0.0%,37.4%,33.2%,4.2%,"314,721",80.2%,x
New Mexico,1,D+7,Deb Haaland,D,"147,336","90,507","11,319",59.1%,36.3%,4.5%,22.8%,16.5%,6.3%,"285,170",87.4%,x
New Mexico,2,R+6,Xochitl Torres Small,D,"101,489","97,767",0,50.9%,49.1%,0.0%,1.9%,-10.2%,12.1%,"234,090",85.1%,x
New Mexico,3,D+8,Ben R. Lujan,D,"155,201","76,427","13,265",63.4%,31.2%,5.4%,32.2%,15.2%,17.0%,"279,058",87.8%,x
New York,1,R+5,Lee Zeldin,R,"127,991","139,027","2,988",47.4%,51.5%,1.1%,-4.1%,-12.2%,8.1%,"339,160",79.6%,x
New York,2,R+3,Peter King,R,"113,074","128,058",0,46.9%,53.1%,0.0%,-6.2%,-8.9%,2.7%,"315,405",76.5%,x
New York,3,D+1,Tom Suozzi,D,"157,456","109,514",0,59.0%,41.0%,0.0%,18.0%,6.1%,11.9%,"348,146",76.7%,x
New York,4,D+4,Kathleen Rice,D,"159,535","100,571",0,61.3%,38.7%,0.0%,22.7%,9.5%,13.2%,"339,434",76.6%,x
New York,5,D+37,Gregory Meeks,D,"160,500",0,0,100.0%,0.0%,0.0%,100.0%,72.8%,N/A,"247,766",64.8%,x
New York,6,D+16,Grace Meng,D,"111,646",0,"11,209",90.9%,0.0%,9.1%,90.9%,32.8%,N/A,"208,665",58.9%,x
New York,7,D+38,Nydia Velazquez,D,"146,687",0,"10,410",93.4%,0.0%,6.6%,93.4%,76.1%,N/A,"205,733",76.4%,x
New York,8,D+36,Hakeem Jeffries,D,"180,376",0,"11,028",94.2%,0.0%,5.8%,94.2%,70.8%,N/A,"256,102",74.7%,x
New York,9,D+34,Yvette Clarke,D,"181,455","20,901",779,89.3%,10.3%,0.4%,79.0%,68.6%,10.4%,"255,357",79.5%,x
New York,10,D+26,Jerrold Nadler,D,"173,095","37,619",0,82.1%,17.9%,0.0%,64.3%,58.9%,5.4%,"264,801",79.6%,x
New York,11,R+3,Max Rose,D,"101,823","89,441",774,53.0%,46.6%,0.4%,6.4%,-9.8%,16.2%,"250,083",76.8%,x
New York,12,D+31,Carolyn Maloney,D,"217,430","30,446","3,726",86.4%,12.1%,1.5%,74.3%,69.0%,5.3%,"310,302",81.1%,x
New York,13,D+43,Adriano Espaillat,D,"180,035","10,268",0,94.6%,5.4%,0.0%,89.2%,86.4%,2.8%,"253,675",75.0%,x
New York,14,D+29,Alexandria Ocasio-Cortez,D,"110,318","19,202","11,604",78.2%,13.6%,8.2%,64.6%,57.6%,7.0%,"195,883",72.0%,x
New York,15,D+44,Jose E. Serrano,D,"124,469","5,205",0,96.0%,4.0%,0.0%,92.0%,88.6%,3.4%,"191,894",67.6%,x
New York,16,D+24,Eliot Engel,D,"182,044",0,0,100.0%,0.0%,0.0%,100.0%,52.2%,N/A,"285,395",63.8%,x
New York,17,D+7,Nita Lowey,D,"170,168",0,"23,150",88.0%,0.0%,12.0%,88.0%,20.0%,N/A,"321,208",60.2%,x
New York,18,R+1,Sean Patrick Maloney,D,"139,564","112,035",0,55.5%,44.5%,0.0%,10.9%,-2.0%,12.9%,"312,199",80.6%,x
New York,19,R+2,Antonio Delgado,D,"147,873","132,873","7,148",51.4%,46.2%,2.5%,5.2%,-6.8%,12.0%,"322,826",89.2%,x
New York,20,D+7,Paul Tonko,D,"176,811","89,058",0,66.5%,33.5%,0.0%,33.0%,13.3%,19.7%,"329,220",80.8%,x
New York,21,R+4,Elise Stefanik,R,"99,791","131,981","3,437",42.4%,56.1%,1.5%,-13.7%,-13.7%,0.0%,"283,447",83.0%,x
New York,22,R+6,Anthony Brindisi,D,"127,715","123,242",0,50.9%,49.1%,0.0%,1.8%,-15.3%,17.1%,"293,033",85.6%,x
New York,23,R+6,Tom Reed,R,"109,932","130,323",0,45.8%,54.2%,0.0%,-8.5%,-14.7%,6.2%,"293,287",81.9%,x
New York,24,D+3,John Katko,R,"123,226","136,920",0,47.4%,52.6%,0.0%,-5.3%,3.6%,-8.9%,"310,431",83.8%,x
New York,25,D+8,Joe Morelle,D,"159,244","110,736",0,59.0%,41.0%,0.0%,18.0%,16.2%,1.8%,"333,384",81.0%,x
New York,26,D+11,Brian Higgins,D,"169,166","61,488",5,73.3%,26.7%,0.0%,46.7%,19.6%,27.1%,"305,135",75.6%,x
New York,27,R+11,Chris Collins,R,"139,059","140,146","5,973",48.8%,49.1%,2.1%,-0.4%,-24.3%,23.9%,"348,933",81.7%,x
North Carolina,1,D+17,G.K. Butterfield,D,"190,457","82,218",0,69.8%,30.2%,0.0%,39.7%,37.4%,2.3%,"361,229",75.5%,x
North Carolina,2,R+7,George Holding,R,"151,977","170,072","9,655",45.8%,51.3%,2.9%,-5.5%,-11.5%,6.0%,"397,196",83.5%,x
North Carolina,3,R+12,Walter Jones,R,0,"187,901",0,0.0%,100.0%,0.0%,-100.0%,-24.0%,N/A,"330,774",56.8%,x
North Carolina,4,D+17,David Price,D,"247,067","82,052","12,284",72.4%,24.0%,3.6%,48.3%,40.3%,8.0%,"423,656",80.6%,x
North Carolina,5,R+10,Virginia Foxx,R,"120,468","159,917",0,43.0%,57.0%,0.0%,-14.1%,-17.3%,3.2%,"362,862",77.3%,x
North Carolina,6,R+9,Mark Walker,R,"123,651","160,709",0,43.5%,56.5%,0.0%,-13.0%,-14.6%,1.6%,"362,448",78.5%,x
North Carolina,7,R+9,David Rouzer,R,"120,838","156,809","4,665",42.8%,55.5%,1.7%,-12.7%,-17.7%,5.0%,"361,079",78.2%,x
North Carolina,8,R+8,Richard Hudson,R,"114,119","141,402",0,44.7%,55.3%,0.0%,-10.7%,-14.8%,4.1%,"334,724",76.3%,x
North Carolina,9,R+8,,,"138,341","139,246","5,130",48.9%,49.3%,1.8%,-0.3%,-12.0%,11.7%,"347,478",81.4%,
North Carolina,10,R+12,Patrick McHenry,R,"113,259","164,969",0,40.7%,59.3%,0.0%,-18.6%,-24.0%,5.4%,"361,149",77.0%,x
North Carolina,11,R+14,Mark Meadows,R,"116,508","178,012","6,146",38.7%,59.2%,2.0%,-20.5%,-29.1%,8.6%,"368,712",81.5%,x
North Carolina,12,D+18,Alma Adams,D,"203,974","75,164",0,73.1%,26.9%,0.0%,46.1%,39.8%,6.3%,"362,147",77.1%,x
North Carolina,13,R+6,Ted Budd,R,"130,402","147,570","8,344",45.5%,51.5%,2.9%,-6.0%,-9.2%,3.2%,"368,114",77.8%,x
North Dakota,AL,R+16,Kelly Armstrong,R,"114,377","193,568","13,587",35.6%,60.2%,4.2%,-24.6%,-35.7%,11.1%,"344,360",93.4%,x
Ohio,1,R+5,Steve Chabot,R,"141,118","154,409","5,344",46.9%,51.3%,1.8%,-4.4%,-6.6%,2.2%,"362,141",83.1%,x
Ohio,2,R+9,Brad Wenstrup,R,"119,333","166,714","3,614",41.2%,57.6%,1.2%,-16.4%,-16.0%,-0.4%,"355,991",81.4%,x
Ohio,3,D+19,Joyce Beatty,D,"181,575","65,040",62,73.6%,26.4%,0.0%,47.2%,38.9%,8.3%,"314,301",78.5%,x
Ohio,4,R+14,Jim Jordan,R,"89,412","167,993",0,34.7%,65.3%,0.0%,-30.5%,-33.4%,2.9%,"326,550",78.8%,x
Ohio,5,R+11,Bob Latta,R,"99,655","176,569","7,393",35.1%,62.3%,2.6%,-27.1%,-24.9%,-2.2%,"361,856",78.4%,x
Ohio,6,R+16,Bill Johnson,R,"76,716","172,774",0,30.7%,69.3%,0.0%,-38.5%,-42.3%,3.8%,"322,137",77.4%,x
Ohio,7,R+12,Bob Gibbs,R,"107,536","153,117",0,41.3%,58.7%,0.0%,-17.5%,-29.6%,12.1%,"329,676",79.1%,x
Ohio,8,R+17,Warren Davidson,R,"87,281","173,852",0,33.4%,66.6%,0.0%,-33.2%,-34.3%,1.1%,"345,230",75.6%,x
Ohio,9,D+14,Marcy Kaptur,D,"157,219","74,670",48,67.8%,32.2%,0.0%,35.6%,22.2%,13.4%,"301,656",76.9%,x
Ohio,10,R+4,Mike Turner,R,"118,785","157,554","5,387",42.2%,55.9%,1.9%,-13.8%,-7.2%,-6.6%,"350,299",80.4%,x
Ohio,11,D+32,Marcia Fudge,D,"206,138","44,486",36,82.2%,17.7%,0.0%,64.5%,63.5%,1.0%,"323,308",77.5%,x
Ohio,12,R+7,Troy Balderson,R,"161,251","175,677","4,719",47.2%,51.4%,1.4%,-4.2%,-11.4%,7.2%,"388,602",87.9%,x
Ohio,13,D+7,Tim Ryan,D,"153,323","98,047",0,61.0%,39.0%,0.0%,22.0%,6.5%,15.5%,"319,864",78.6%,x
Ohio,14,R+5,David Joyce,R,"137,549","169,809",0,44.8%,55.2%,0.0%,-10.5%,-11.4%,0.9%,"370,746",82.9%,x
Ohio,15,R+7,Steve Stivers,R,"116,112","170,593","5,738",39.7%,58.3%,2.0%,-18.6%,-15.6%,-3.0%,"356,990",81.9%,x
Ohio,16,R+8,Anthony Gonzalez,R,"129,681","170,029",0,43.3%,56.7%,0.0%,-13.5%,-16.6%,3.1%,"369,434",81.1%,x
Oklahoma,1,R+17,Kevin Hern,R,"103,042","150,129",0,40.7%,59.3%,0.0%,-18.6%,-28.8%,10.2%,"311,506",81.3%,x
Oklahoma,2,R+24,Markwayne Mullin,R,"65,021","140,451","10,530",30.1%,65.0%,4.9%,-34.9%,-50.1%,15.2%,"271,844",79.5%,x
Oklahoma,3,R+27,Frank Lucas,R,"61,152","172,913",0,26.1%,73.9%,0.0%,-47.7%,-52.8%,5.1%,"293,417",79.8%,x
Oklahoma,4,R+20,Tom Cole,R,"78,088","149,227","9,323",33.0%,63.1%,3.9%,-30.1%,-37.2%,7.1%,"295,464",80.1%,x
Oklahoma,5,R+10,Kendra Horn,D,"121,149","117,811",0,50.7%,49.3%,0.0%,1.4%,-13.7%,15.1%,"280,761",85.1%,x
Oregon,1,D+9,Suzanne Bonamici,D,"231,198","116,446","15,605",63.6%,32.1%,4.3%,31.6%,21.9%,9.7%,"398,968",91.0%,x
Oregon,2,R+11,Greg Walden,R,"145,298","207,597","15,814",39.4%,56.3%,4.3%,-16.9%,-19.4%,2.5%,"394,121",93.6%,x
Oregon,3,D+24,Earl Blumenauer,D,"279,019","76,187","29,120",72.6%,19.8%,7.6%,52.8%,46.7%,6.1%,"412,761",93.1%,x
Oregon,4,EVEN,Peter DeFazio,D,"208,710","152,414","11,769",56.0%,40.9%,3.2%,15.1%,0.1%,15.0%,"406,334",91.8%,x
Oregon,5,EVEN,Kurt Schrader,D,"197,187","149,887","11,395",55.0%,41.8%,3.2%,13.2%,4.1%,9.1%,"389,153",92.1%,x
Pennsylvania,1,R+1,Brian Fitzpatrick,R,"160,745","169,053",0,48.7%,51.3%,0.0%,-2.5%,2.0%,-4.5%,"385,727",85.5%,x
Pennsylvania,2,D+25,Brendan Boyle,D,"159,600","42,382",0,79.0%,21.0%,0.0%,58.0%,48.0%,10.0%,"283,972",71.1%,x
Pennsylvania,3,D+41,Dwight Evans,D,"287,610","20,387",0,93.4%,6.6%,0.0%,86.8%,83.9%,2.9%,"373,594",82.4%,x
Pennsylvania,4,D+7,Madeleine Dean,D,"211,524","121,467",0,63.5%,36.5%,0.0%,27.0%,19.4%,7.6%,"382,477",87.1%,x
Pennsylvania,5,D+13,Mary Gay Scanlon,D,"198,639","106,075",0,65.2%,34.8%,0.0%,30.4%,28.2%,2.2%,"367,453",82.9%,x
Pennsylvania,6,D+2,Chrissy Houlahan,D,"177,704","124,124",0,58.9%,41.1%,0.0%,17.8%,9.3%,8.5%,"353,374",85.4%,x
Pennsylvania,7,D+1,Susan Wild,D,"140,813","114,437","8,011",53.5%,43.5%,3.0%,10.0%,1.1%,8.9%,"329,510",79.9%,x
Pennsylvania,8,R+1,Matt Cartwright,D,"135,603","112,563",0,54.6%,45.4%,0.0%,9.3%,-9.5%,18.8%,"310,154",80.0%,x
Pennsylvania,9,R+14,Dan Meuser,R,"100,204","148,723",0,40.3%,59.7%,0.0%,-19.5%,-34.0%,14.5%,"315,463",78.9%,x
Pennsylvania,10,R+6,Scott Perry,R,"141,668","149,365",0,48.7%,51.3%,0.0%,-2.6%,-8.9%,6.3%,"346,108",84.1%,x
Pennsylvania,11,R+14,Lloyd Smucker,R,"113,876","163,708",0,41.0%,59.0%,0.0%,-18.0%,-25.8%,7.8%,"332,899",83.4%,x
Pennsylvania,12,R+17,Tom Marino,R,"82,825","161,047",0,34.0%,66.0%,0.0%,-32.1%,-36.5%,4.4%,"306,841",79.5%,x
Pennsylvania,13,R+22,John Joyce,R,"74,733","178,533",0,29.5%,70.5%,0.0%,-41.0%,-45.5%,4.5%,"319,516",79.3%,x
Pennsylvania,14,R+14,Guy Reschenthaler,R,"110,051","151,386",0,42.1%,57.9%,0.0%,-15.8%,-29.0%,13.2%,"333,028",78.5%,x
Pennsylvania,15,R+20,Glenn Thompson,R,"78,327","165,245",0,32.2%,67.8%,0.0%,-35.7%,-43.4%,7.7%,"308,943",78.8%,x
Pennsylvania,16,R+8,Mike Kelly,R,"124,109","135,348","2,939",47.3%,51.6%,1.1%,-4.3%,-19.9%,15.6%,"323,079",81.2%,x
Pennsylvania,17,R+3,Conor Lamb,D,"183,162","142,417",0,56.3%,43.7%,0.0%,12.5%,-2.5%,15.0%,"380,743",85.5%,x
Pennsylvania,18,D+13,Mike Doyle,D,"231,472",0,0,100.0%,0.0%,0.0%,100.0%,26.8%,N/A,"361,913",64.0%,x
Rhode Island,1,D+14,David Cicilline,D,"116,099","57,567",417,66.7%,33.1%,0.2%,33.6%,24.9%,8.7%,"219,493",79.3%,x
Rhode Island,2,D+6,Jim Langevin,D,"126,476","72,271",450,63.5%,36.3%,0.2%,27.2%,6.8%,20.4%,"243,211",81.9%,x
South Carolina,1,R+10,Joe Cunningham,D,"145,455","141,473",505,50.6%,49.2%,0.2%,1.4%,-12.7%,14.1%,"336,570",85.4%,x
South Carolina,2,R+12,Joe Wilson,R,"109,199","144,642","3,298",42.5%,56.3%,1.3%,-13.8%,-18.6%,4.8%,"311,355",82.6%,x
South Carolina,3,R+19,Jeff Duncan,R,"70,046","153,338","2,820",31.0%,67.8%,1.2%,-36.8%,-38.0%,1.2%,"283,968",79.7%,x
South Carolina,4,R+15,William Timmons,R,"89,182","145,321","9,447",36.6%,59.6%,3.9%,-23.0%,-25.6%,2.6%,"303,659",80.3%,x
South Carolina,5,R+9,Ralph Norman,R,"103,129","141,757","3,693",41.5%,57.0%,1.5%,-15.5%,-18.5%,3.0%,"306,561",81.1%,x
South Carolina,6,D+19,Jim Clyburn,D,"144,765","58,282","3,386",70.1%,28.2%,1.6%,41.9%,37.4%,4.5%,"264,993",77.9%,x
South Carolina,7,R+9,Tom Rice,R,"96,564","142,681",309,40.3%,59.6%,0.1%,-19.3%,-18.7%,-0.6%,"299,421",80.0%,x
South Dakota,AL,R+14,Dusty Johnson,R,"121,033","202,695","12,237",36.0%,60.3%,3.6%,-24.3%,-29.8%,5.5%,"370,093",90.8%,x
Tennessee,1,R+28,Phil Roe,R,"47,138","172,835","4,309",21.0%,77.1%,1.9%,-56.0%,-56.8%,0.8%,"266,419",84.2%,x
Tennessee,2,R+20,Tim Burchett,R,"86,668","172,856","2,609",33.1%,65.9%,1.0%,-32.9%,-35.2%,2.3%,"292,087",89.7%,x
Tennessee,3,R+18,Chuck Fleischmann,R,"84,731","156,512","4,522",34.5%,63.7%,1.8%,-29.2%,-35.0%,5.8%,"278,072",88.4%,x
Tennessee,4,R+20,Scott DesJarlais,R,"78,065","147,323","7,063",33.6%,63.4%,3.0%,-29.8%,-40.9%,11.1%,"278,304",83.5%,x
Tennessee,5,D+7,Jim Cooper,D,"177,923","84,317",8,67.8%,32.2%,0.0%,35.7%,18.2%,17.5%,"279,441",93.8%,x
Tennessee,6,R+24,John Rose,R,"70,370","172,810","5,560",28.3%,69.5%,2.2%,-41.2%,-48.8%,7.6%,"299,210",83.1%,x
Tennessee,7,R+20,Mark Green,R,"81,661","170,071","2,652",32.1%,66.9%,1.0%,-34.8%,-39.0%,4.2%,"293,684",86.6%,x
Tennessee,8,R+19,David Kustoff,R,"74,755","168,030","5,560",30.1%,67.7%,2.2%,-37.6%,-35.4%,-2.2%,"298,758",83.1%,x
Tennessee,9,D+28,Steve Cohen,D,"145,139","34,901","1,436",80.0%,19.2%,0.8%,60.7%,57.3%,3.4%,"224,115",81.0%,x
